Pays,Club,Championnat,Etoiles
RP Chine,SZ Peng City,CSL,1.00 
RP Chine,Tiranjin JMT FC,CSL,1.50 
RP Chine,Wuhan Three Towns,CSL,2.00 
RP Chine,Zhejiang Pro,CSL,2.00 
Suede,AIK,Allsvenskan,2.00 
Suede,Brommapojkarna,Allsvenskan,1.50 
Suede,Djugardens IF,Allsvenskan,2.50 
Suede,IF Elfsborg,Allsvenskan,2.00 
Suede,GAIS,Allsvenskan,1.00 
Suede,IFK GOteborg,Allsvenskan,2.00 
Suede,BK Hacken,Allsvenskan,2.50 
Suede,Halmstads BK,Allsvenskan,1.50 
Suede,Hammarby IF,Allsvenskan,1.50 
Suede,Kalmar FF,Allsvenskan,2.00 
Suede,MalmO FF,Allsvenskan,3.50 
Suede,Mjallby AIF,Allsvenskan,1.00 
Suede,IFK NorrkOping,Allsvenskan,2.00 
Suede,IK Sirius,Allsvenskan,1.00 
Suede,IFK Varnamo,Allsvenskan,1.50 
Suede,Vasteras SK,Allsvenskan,1.00 
Suisse,FC Basel 1893,CSSL,2.50 
Suisse,Lausanne-Sport,CSSL,2.50 
Suisse,FC Lugano,CSSL,3.00 
Suisse,FC Lucerne,CSSL,2.50 
Suisse,Servette FC,CSSL,3.00 
Suisse,FC Sion,CSSL,2.00 
Suisse,FC Saint-Gall,CSSL,3.00 
Suisse,FC Winterthur,CSSL,2.00 
Suisse,BSC Young Boys,CSSL,3.50 
Suisse,Yverdon Sport FC,CSSL,2.00 
Suisse,FC Zurich,CSSL,3.00 
Suisse,GC Zurich,CSSL,2.00 
Turquie,Adana Demirspor,Trendyol Super Lig,2.50 
Turquie,Alanyaspor,Trendyol Super Lig,2.50 
Turquie,Antalyaspor,Trendyol Super Lig,2.50 
Turquie,Basaksehir,Trendyol Super Lig,3.50 
Turquie,Besiktas,Trendyol Super Lig,4.00 
Turquie,Bodrum FK,Trendyol Super Lig,1.00 
Turquie,Eyupspor,Trendyol Super Lig,3.00 
Turquie,Fenerbahce,Trendyol Super Lig,4.50 
Turquie,Galatasaray,Trendyol Super Lig,4.50 
Turquie,Gaziantep,Trendyol Super Lig,2.50 
Turquie,GOztepe,Trendyol Super Lig,2.50 
Turquie,Hatayspor,Trendyol Super Lig,2.50 
Turquie,Kasimpasa,Trendyol Super Lig,2.50 
Turquie,Kayserispor,Trendyol Super Lig,2.50 
Turquie,Konyaspor,Trendyol Super Lig,2.50 
Turquie,Cayhur Rizespor,Trendyol Super Lig,2.50 
Turquie,Samsunspor,Trendyol Super Lig,3.00 
Turquie,Sivasspor,Trendyol Super Lig,2.00 
Turquie,Trabzonspor,Trendyol Super Lig,4.00 
Reste du Monde,AEK Athenes,RDM hommes,4.00 
Reste du Monde,Olympiacos FC,RDM hommes,3.50 
Reste du Monde,Al Ain FC,RDM hommes,3.00 
Reste du Monde,APOEL FC,RDM hommes,3.00 
Reste du Monde,Atl. Nacional,RDM hommes,3.00 
Reste du Monde,Dinamo Zagreb,RDM hommes,3.50 
Reste du Monde,Dynamo Kiev,RDM hommes,3.50 
Reste du Monde,Ferencvarosi TC,RDM hommes,3.50 
Reste du Monde,Hajduk Split,RDM hommes,3.50 
Reste du Monde,HJK Helsinski,RDM hommes,1.50 
Reste du Monde,Panathinaikos,RDM hommes,3.50 
Reste du Monde,PAOK FC,RDM hommes,3.50 
Reste du Monde,Chaktar Donetsk,RDM hommes,3.50 
Reste du Monde,Slavia Prague,RDM hommes,3.50 
Reste du Monde,Qarabag FK,RDM hommes,3.00 
Reste du Monde,Sparta Prague,RDM hommes,3.50 
Reste du Monde,Viktoria Plzen,RDM hommes,3.50 
Reste du Monde,MLS All-Star,RDM hommes,4.00 
Reste du Monde,Soccer Aid,RDM hommes,5.00 
International Hommes,Allemagne,Selection hommes,5.00 
International Hommes,Angleterre,Selection hommes,5.00 
International Hommes,Argentine,Selection hommes,5.00 
International Hommes,Croatie,Selection hommes,4.50 
International Hommes,Danemark,Selection hommes,4.00 
International Hommes,ecosse,Selection hommes,4.00 
International Hommes,Espagne,Selection hommes,5.00 
International Hommes,etats-Unis,Selection hommes,4.00 
International Hommes,Finlande,Selection hommes,3.50 
International Hommes,France,Selection hommes,5.00 
International Hommes,Ghana,Selection hommes,4.00 
International Hommes,Hongrie,Selection hommes,4.00 
International Hommes,Islande,Selection hommes,3.50 
International Hommes,Irlande,Selection hommes,3.50 
International Hommes,Irlande du Nord,Selection hommes,3.00 
International Hommes,Italie,Selection hommes,5.00 
International Hommes,Maroc,Selection hommes,4.00 
International Hommes,Mexique,Selection hommes,4.00 
International Hommes,Nouv.-Zelande,Selection hommes,2.50 
International Hommes,Norvege,Selection hommes,4.00 
International Hommes,Pays-Bas,Selection hommes,4.50 
International Hommes,Pays de Galles,Selection hommes,3.50 
International Hommes,Pologne,Selection hommes,4.00 
International Hommes,Portugal,Selection hommes,5.00 
International Hommes,Qatar,Selection hommes,2.50 
International Hommes,Roumanie,Selection hommes,3.50 
International Hommes,Tchequie,Selection hommes,4.00 
International Hommes,Suede,Selection hommes,4.00 
International Hommes,Ukraine,Selection hommes,4.00 
